category,description,downloaded,follower_count,image_src,index,is_image_or_video,poster_name,save_location,tag_list,title,unique_id
education,Amazon is a teacher's best friend! Each year my list of must haves for the classroom grows so I'm here to share more of my Amazon classroom finds!,1,41k,https://i.pinimg.com/originals/b5/62/94/b56294ab72f395727ae5d28b073ae6cc.jpg,3644,image,Teach Create Motivate,Local save in /data/education,"Classroom Hacks,5th Grade Classroom,Middle School Classroom,New Classroom,Math Classroom Decorations,Highschool Classroom Decor,Classroom Supplies,English Teacher Classroom,Classroom Libraries",More Amazon Must Haves for Your Classroom - Teach Create Motivate,cde2b4e2-7711-4a85-970a-9e51481b386b
home-decor,"Believe it or not, there are many affordable farmhouse decor on Amazon. Here's a quick list of 25 items all under $25 that will boost your home decor!",1,31k,https://i.pinimg.com/originals/13/3d/e6/133de6c7dcd8d410a4146b273c578bad.jpg,6575,image,Maria Louise Design,Local save in /data/home-decor,"Farmhouse Remodel,Farmhouse Style Kitchen,Country Farmhouse Decor,Modern Farmhouse Kitchens,Farmhouse Design,Rustic Decor,Farmhouse Decor Amazon,Amazon Home Decor,Modern Decor",Affordable Farmhouse Decor on Amazon for Under $25 • Maria Louise Design,15c45907-657e-4395-a085-cb29b5cab361
home-decor,"Holiday mantle decor, Christmas decor, metallic mercury glass style Christmas trees, eucalyptus vine, evergreen pine branches, white neutral holiday decor, cozy mantle for the h… ",1,83k,https://i.pinimg.com/originals/9d/82/1a/9d821a80acd8f90c16454e978bd9b115.jpg,6145,image,Stylin by Aylin,Local save in /data/home-decor,"Winter Home Decor,Christmas Living Room Decor,Living Room Decor Cozy,Christmas Decor,Cozy Fireplace,Rustic Fireplace Decor,Fireplace Decorations,Rustic Room,House Decorations",HOLIDAY MANTLE DECOR - @AMAZON & @TARGET FINDS,82e13a07-db99-43a3-b1c0-89a4b75821da
home-decor,"Holiday mantle decor, Christmas decor, metallic mercury glass style Christmas trees, eucalyptus vine, evergreen pine branches, white neutral holiday decor, cozy mantle for the h… ",1,83k,https://i.pinimg.com/originals/9d/82/1a/9d821a80acd8f90c16454e978bd9b115.jpg,6145,image,Stylin by Aylin,Local save in /data/home-decor,"Winter Home Decor,Christmas Living Room Decor,Living Room Decor Cozy,Christmas Decor,Cozy Fireplace,Rustic Fireplace Decor,Fireplace Decorations,Rustic Room,House Decorations",HOLIDAY MANTLE DECOR - @AMAZON & @TARGET FINDS,82e13a07-db99-43a3-b1c0-89a4b75821da
art,Mexican artist Enrique Bernal has found a magical way to illuminate his beautiful pencil drawings with life. Check his unique glowing art in this article!,1,2M,https://i.pinimg.com/originals/0c/37/fa/0c37fab39da6ded220c3f9ccac8d117c.jpg,4,image,Bored Panda,Local save in /data/art,"Girl Drawing Sketches,Art Drawings Sketches Simple,Pencil Art Drawings,Realistic Drawings,Cool Drawings,Drawing Ideas,Panda Drawing,Disney Drawings,Pencil Drawing Inspiration","Mexican Artist Uses Unique Technique To Make His Drawings Glow, And The Result Is Mesmerizing",55abcd28-bda1-4453-bbcd-1427fb3aa49b
education,"Podcasts for Teachers or Parents of Teenagers: Teaching teens middle school and high school can feel joyful and rewarding most days, but can also frustrate you with one challeng… ",1,25k,https://i.pinimg.com/originals/50/19/31/501931a27ee4d076658980851b995b2c.jpg,4315,image,Math Giraffe,Local save in /data/education,"Middle School Classroom,High School Students,High School Teachers,Middle School Tips,High School Counseling,Ela Classroom,High School Science,Future Classroom,Google Classroom",Podcasts for Teachers or Parents of Teenagers,21b59ba9-829d-4c33-8c27-4cd4c56d26b8
event-planning,Sacramento California Wedding 2 Chic Events & Design Jodi Yorston Photography Wilson Vineyards Barn Miosa Couture Yellow Barn Vineyard Outdoor Candles DIY,1,6M,https://i.pinimg.com/originals/7e/45/90/7e45905fefa36347e83333fd6d091140.jpg,5069,image,Style Me Pretty,Local save in /data/event-planning,"60th Anniversary Parties,Anniversary Decorations,Golden Anniversary,25th Wedding Anniversary,Anniversary Pictures,Anniversary Ideas,Birthday Decorations,Event Planning Design,Event Design",The Vault: Curated & Refined Wedding Inspiration,b75b6f87-deb3-444f-b29e-ce9161b2df49
mens-fashion,"Black And Brown Outfits You Need To Try This Fall Season. The trick with black and brown outfits is to know how to combine colors, fabrics, and shapes to get a cohesive look. So… ",1,1M,https://i.pinimg.com/originals/3e/49/09/3e4909c0ccc4dbba3cad83d97eab4a61.png,7343,image,Cultura Colectiva,Local save in /data/mens-fashion,"Winter Outfits Men,Stylish Mens Outfits,Casual Outfits,Men Casual,Smart Casual,Outfits For Men,Fall Outfits,Mens Winter Boots,Business Casual Men","This Fashion Rule Is Nonsense, And We Should All Forget About It",b8c63a95-6fe8-4d7f-9455-1eef3462fee0
event-planning,"An event planning checklist is designed to walk you through the various stages of an event. Download, or print, event and party planning checklists here.",1,3k,https://i.pinimg.com/originals/e3/a1/fb/e3a1fb58e6093518398987cba6b07c5e.png,4949,image,Master The Event,Local save in /data/event-planning,"Party Planning Checklist,Event Planning Quotes,Planning Budget,Event Planning Business,Wedding Planning Checklist,Holiday Checklist,Business Events,Business Advice,Event Ideas",How an Event Planning Checklist Makes You a Better Planner,595defc9-5755-4816-bf4c-916ef2b9dcbc
quotes,"There are so many different ways for soulmates to say, 'I love you' there's no reason to stop there, so here are the 100 best romantic love quotes for kindred spirits to share w… ",1,942k,https://i.pinimg.com/originals/21/ef/bc/21efbc2dbfe6e2c1291a1599cd6b1683.jpg,8237,image,YourTango,Local save in /data/quotes,"Missing You Quotes,Love Me Quotes,Love Yourself Quotes,Love Poems,Quotes For Him,Great Quotes,Quotes To Live By,Inspirational Quotes,Miss You Grandpa Quotes",115 Beautiful Soulmate Love Quotes To Share With Your Kindred Spirit,2949a0ca-b4fb-43b5-a1bc-e15c7b534637
home-decor,"Beautiful and easy ways to update every room in your home with fall decor. Plus, my favorite finds in fall decor for 2020!",1,92k,https://i.pinimg.com/originals/e5/ae/dc/e5aedc14ce557e3a69f672e0f8c88f6e.png,6063,image,"Kristen | Lifestyle, Mom Tips & Teacher Stuff Blog",Local save in /data/home-decor,"Fall Home Decor,Autumn Home,Fall Decor Outdoor,Front Porch Fall Decor,Home Decor Ideas,Porch Ideas For Fall,Fall Outdoor Decorating,Decorating Ideas For Fall,Fall Front Doors",41 Gorgeous Fall Decor Ideas For Your Home - Chaylor & Mads,60693727-4927-4bd6-a8c5-096a392d63e6
art,"Study the art of Hokusai in this elementary art curriculum designed to combine the elements of art, art history, and fun, hands on projects!",1,221k,https://i.pinimg.com/originals/2c/65/c0/2c65c0694d0f5e4eb8fddcf8aff99321.png,857,image,The Kitchen Table Classroom,Local save in /data/art,"Art History Lessons,Art Lessons For Kids,History Projects,Curriculum Design,Art Curriculum,High School Art,Middle School Art,Documents D'art,Programme D'art",The Artists and the Elements- An Elementary Art Curriculum - The Kitchen Table Classroom,445d2f86-1625-4e97-be3c-92474181d6f3
travel,"On our Calgary to Vancouver road trip we got to spend time in Banff, Canada. We visited the stunning Lake Moraine as well as Lake Louise and plenty of other of Canada's natural… ",1,7k,https://i.pinimg.com/videos/thumbnails/originals/57/9d/52/579d52242ae5609978c754d393e44e81.0000001.jpg,9672,video,Travel Mad Mum,Local save in /data/travel,"Beautiful Places To Travel,Cool Places To Visit,Beautiful Roads,Beautiful Scenery,Wonderful Places,Lac Moraine,Moraine Lake,Lac Louise,Natur Wallpaper","Lake Moraine, Banff, Canada",1a5050a4-ac82-472c-aeff-3457de8bbee9
tattoos,"Hi everyone! My last small tattoo ideas post was really popular on Pinterest, so I decided to put together this post with even more tiny tattoo ideas. Just like the other post,… ",1,17k,https://i.pinimg.com/originals/b5/72/b5/b572b5641d4efd2e9a13de2506b9e721.png,9014,image,Sarah Wahl | Crestfox,Local save in /data/tattoos,"Little Tattoos,Mini Tattoos,Body Art Tattoos,Sleeve Tattoos,Tatoos,Flower Tattoos,White Tattoos,Arrow Tattoos,Word Tattoos",75 More Small Tattoo Ideas from Playground Tattoo - Crestfox,45c2e92a-5daf-40f3-9732-771c186c0757
diy-and-crafts,One thing I love about Crafts is how the evolve! These toilet paper rolls are adorable and modern. I love that something as simple as a recycled toilet paper roll can be taken t… ,1,502k,https://i.pinimg.com/originals/c6/cd/0d/c6cd0d04da9cfc11566cfd34eeb1f918.jpg,2959,image,CraftGossip.com,Local save in /data/diy-and-crafts,"Toilet Paper Roll Crafts,Cardboard Crafts,Diy Paper,Paper Crafting,Toilet Paper Rolls,Cardboard Playhouse,Paper Art,Kids Crafts,Toddler Crafts",The Cutest Toilet Paper Crafts,439cac4b-18e8-4aaa-88c5-edb26a701111
diy-and-crafts,One thing I love about Crafts is how the evolve! These toilet paper rolls are adorable and modern. I love that something as simple as a recycled toilet paper roll can be taken t… ,1,502k,https://i.pinimg.com/originals/c6/cd/0d/c6cd0d04da9cfc11566cfd34eeb1f918.jpg,2959,image,CraftGossip.com,Local save in /data/diy-and-crafts,"Toilet Paper Roll Crafts,Cardboard Crafts,Diy Paper,Paper Crafting,Toilet Paper Rolls,Cardboard Playhouse,Paper Art,Kids Crafts,Toddler Crafts",The Cutest Toilet Paper Crafts,439cac4b-18e8-4aaa-88c5-edb26a701111
mens-fashion,"Macho Moda: Blog de Moda Masculina - Dicas de Estilo Masculino, Tendências, Produtos para Homens, Serviços e tudo relacionado a esse Universo",1,620k,https://i.pinimg.com/originals/a9/13/70/a913704e90568f5bbedaa6a866b9c4c0.png,7467,image,Macho Moda,Local save in /data/mens-fashion,"Best Mens Fashion,Mens Fashion Suits,Mens Suits,Men's Fashion,Fashion Boots,Classy Fashion,Runway Fashion,Fashion Guide,Fashion Ideas",5 TRUQUES REAIS para usar ROUPAS BÁSICAS com MUITO ESTILO! Estilo Básico Masculino,21ea7e2b-9f40-4039-9ba1-2a8c5b2b5b82
travel,This Montana trip takes you through through big and small towns that have a western charm that adds uniqueness to your trip. Here are the top spots to go!,1,4k,https://i.pinimg.com/originals/0c/a4/4e/0ca44eefe5f74512e8e1e8b80491f05d.png,9550,image,Visit USA Parks | Travel Blog & Inspiration,Local save in /data/travel,"Road Trip Map,Visit Usa,Vacation Trips,Vacations,Summer Travel,Travel Usa,Trip Planning,National Parks,Scenic Photography",The Best Trip to Montana and the National Parks - Visit USA Parks,ccd4eee1-97d3-4c3b-9b62-ae71641effcd
beauty,"Versatile & beautiful, wispy bangs look great on just about anyone! Check out these pictures, our How To advice & tips to get your own wispy bangs.",1,627k,https://i.pinimg.com/originals/de/e1/4f/dee14fcd517247c66ede1a1c5b8dbfe9.jpg,1514,image,Latest Hairstyles,Local save in /data/beauty,"How To Cut Bangs,How To Style Bangs,Cut Side Bangs,Latest Hairstyles,Cute Hairstyles,Elegant Hairstyles,Long Hairstyles With Bangs,Wedding Hairstyles,Braided Hairstyles",28 Sexiest Wispy Bangs You Need to Try This Year,dc794d53-c1bf-4501-9891-07bae6185b54
travel,"35 European bucket list destinations for any traveler heading to Europe. From Cinque Terre, Italy to Iceland - there are so many amazing sites to see in Europe.",1,28k,https://i.pinimg.com/originals/71/04/1a/71041ad83ede43d9665741e719c58a86.jpg,9875,image,Nicki ,Local save in /data/travel,"Backpacking Europe,Europe Travel Guide,Travel Guides,Travel Packing,Traveling Europe,Travelling,Travel Backpack,Budget Travel,2 Week Europe Itinerary",European Bucket List: 35 Things NOT To Miss When Traveling Europe,782dcbad-ff91-40a6-ba60-216efe29adb7
travel,"35 European bucket list destinations for any traveler heading to Europe. From Cinque Terre, Italy to Iceland - there are so many amazing sites to see in Europe.",1,28k,https://i.pinimg.com/originals/71/04/1a/71041ad83ede43d9665741e719c58a86.jpg,9875,image,Nicki ,Local save in /data/travel,"Backpacking Europe,Europe Travel Guide,Travel Guides,Travel Packing,Traveling Europe,Travelling,Travel Backpack,Budget Travel,2 Week Europe Itinerary",European Bucket List: 35 Things NOT To Miss When Traveling Europe,782dcbad-ff91-40a6-ba60-216efe29adb7
art,Fashion designer Issac Mizrahi’s Greenwich Village home is an amalgamation of three apartments that was 20 years in the making,1,3M,https://i.pinimg.com/originals/f4/6c/54/f46c546a2e480022a42d842b7dca157e.jpg,428,image,Architectural Digest,Local save in /data/art,"Modern Art,Contemporary Art,Contemporary Kitchens,Contemporary Bedroom,New York City Apartment,Manhattan Apartment,Art Moderne,Architectural Digest,Painting Inspiration",Fashion Designer Isaac Mizrahi’s Updated 1930s New York City Apartment,610b3f83-9fe0-469d-946c-d16b577fca71
vehicles,Looking for the Aston Martin DB5 (1963 - 1965) of your dreams? There are currently 20 Aston Martin DB5 (1963 - 1965) cars as well as thousands of other iconic classic and collec… ,1,27k,https://i.pinimg.com/originals/0a/b9/35/0ab935e261e2a016384a804ca99ec6c8.jpg,10883,image,Classic Driver,Local save in /data/vehicles,"Aston Martin Db5,Classic Aston Martin,Jaguar,Bristol,Bond Cars,Classic Car Restoration,British Sports Cars,Automobile,Classic Sports Cars",Aston Martin DB5 (1963 - 1965) for sale,8747b75c-8020-4861-af88-9aabe55d1b6f
travel,"Dreaming of traveling world? Saving for such a trip ain't easy, so instead, here's how I created a career out of travel and how I make money while traveling",1,9k,https://i.pinimg.com/originals/04/d6/bc/04d6bca89a3c9f26c259a5de0f6ca0a1.jpg,10137,image,No Hurry To Get Home,Local save in /data/travel,"Make Money Traveling,Travel Money,Solo Travel,Disney Travel,Time Travel,Travel Store,Travel Advice,Travel Tips,Travel Destinations",How I Make Money While Traveling: Steps I Took to Live a Life of Travel,1ffce594-6159-47f3-8f96-53ceb21b72af
diy-and-crafts,HELPFUL RESOURCES – Check out my resin colorants resources page here with links to all the products mentioned in this article (and more). Let me know if you have any that you lo… ,1,6k,https://i.pinimg.com/originals/d4/12/78/d4127833023ca32600571ddca16f1556.jpg,3454,image,Mixed Media Crafts,Local save in /data/diy-and-crafts,"Epoxy Resin Art,Diy Resin Art,Diy Resin Crafts,Resin Molds,Ice Resin,Resin Pour,Diy Epoxy,Diy Resin Painting,Diy Resin Dice",What can you use to color resin?,46bd3f86-b09d-4e29-9033-7ff2df595e51
finance,"Description Coupon Organizer in a fun colorful fabric -island oasis, Great Size for the ""basic"" couponer - holds up to 500 coupons with ease, and is made long enough so that you… ",1,0,https://i.pinimg.com/originals/65/bb/ea/65bbeaf458907bb079317d8303c4fa0e.jpg,5730,image,Consuelo Aguirre,Local save in /data/finance,"Grocery Items,Grocery Coupons,Care Organization,Coupon Organization,Extreme Couponing,Couponing 101,Life Binder,Save My Money,Love Coupons",Island Oasis Coupon Organizer,1e1f0c8b-9fcf-460b-9154-c775827206eb
art,"Top interior design blogger, Never Skip Brunch, shares her step by step tutorial to make your own Shower Curtain Art for cheap. Click here now for more!!",1,26k,https://i.pinimg.com/originals/3c/b7/94/3cb7947e405a91e17e14b9e3a5466b2d.jpg,91,image,CARA NEWHART [never skip brunch],Local save in /data/art,"Art Diy,Diy Wall Art,Large Wall Art,Wall Art Decor,Wall Of Art,Art For Walls,Large Art Prints,Artwork Wall,Cool Wall Art",Shower Curtain Art Tutorial | NEVER SKIP BRUNCH by Cara Newhart,ca91fe99-d9a9-4d59-9d0d-87e32d1c692f
christmas,20 Christmas Decorating Ideas We Bet You Haven't Thought Of via @PureWow,1,868k,https://i.pinimg.com/originals/e9/b9/f0/e9b9f01cc3b2cf41948b45854335396c.jpg,2074,image,PureWow,Local save in /data/christmas,"Holiday Centerpieces,Xmas Decorations,Centerpiece Ideas,Table Centerpieces,Valentine Decorations,Wedding Centerpieces,Outdoor Decorations,Christmas Centerpieces With Candles,Christmas Dining Table Decorations",35 Christmas Decorating Ideas We Bet You Haven't Thought Of,86ed09a7-842d-496d-9501-010c654eb340
travel,"These Alaska itinerary stops will help you plan the perfect trip to Alaska! From Denali to Seward, this Alaska itinerary covers everything to see and do.",1,9k,https://i.pinimg.com/originals/8e/96/40/8e9640b01706fe367f7fb409a720e9d9.jpg,10029,image,Linda On The Run,Local save in /data/travel,"Alaska Travel,Travel Usa,Travel Tips,Alaska Trip,Cruise Travel,Shopping Travel,Beach Travel,Budget Travel,Travel Ideas",11 Stops To Include On The Perfect Alaska Itinerary,d91ae5c9-6cb7-432a-9d5f-a01f251fa28a
diy-and-crafts,Keep the kids busy this summer with these easy diy crafts and projects. Creative and…,1,124k,https://i.pinimg.com/originals/b3/bc/e2/b3bce2964e8c8975387b39660eed5f16.jpg,2863,image,Of Life & Lisa | Lifestyle Blog,Local save in /data/diy-and-crafts,"Summer Crafts For Kids,Fun Crafts For Kids,Summer Kids,Toddler Crafts,Crafts To Do,Diy For Kids,Summer Snow,Diys For Summer,Craft Ideas For Girls",25 Super Fun Summer Crafts for Kids - Of Life and Lisa,9bf39437-42a6-4f02-99a0-9a0383d8cd70
tattoos,We welcome you to our latest collection of Beautiful Tattoo Ideas For Women. Check out and get inspired by the most beautiful design for yourself.,1,21k,https://i.pinimg.com/originals/fa/cf/7c/facf7cd752a4bc7c09faaa8925ab80b1.jpg,8653,image,ALL FOR WOMAN,Local save in /data/tattoos,"Small Back Tattoos,Small Girl Tattoos,Little Tattoos,Tattoo Girls,Mini Tattoos,Tattoo Small,Back Tattoo Women,Tattoo On Back,Girl Back Tattoos",Unique Women Tattoos Ideas 2020,24b1343c-4d86-4705-8ec9-7f1f2df2d77e
diy-and-crafts,A fun space activity for kids. Preshoolers and kindergartners will love making their own alien spacecraft!,1,192k,https://i.pinimg.com/originals/6f/e8/aa/6fe8aa405513c6d2f77b5f47d17cdce8.jpg,2923,image,The Crafting Chicks,Local save in /data/diy-and-crafts,"Paper Plate Crafts For Kids,Fun Crafts For Kids,Summer Crafts,Toddler Crafts,Art For Kids,Outer Space Crafts For Kids,Kid Crafts,Space Kids,Back To School Crafts For Kids",UFO Paper Plate Craft,52fa3af5-24a4-4ccb-8f17-9c3eb12327ee
beauty,No description available Story format,1,157k,https://i.pinimg.com/videos/thumbnails/originals/92/6f/33/926f33779cb5fe0b76ff08e992e8e867.0000001.jpg,1170,multi-video(story page format),miss coco,Local save in /data/beauty,"Eye Makeup Steps,Blue Eye Makeup,Skin Makeup,Simple Makeup,Natural Makeup,Concealer,Makeup Tips Foundation,Foundation Shade,Full Coverage Foundation",Best shade makeup foundation for your skin match guide tutorial- beauty tutorial hacks,fafb96e7-e2c6-436b-beac-caf5e3a1cbf5
christmas,"Christmas Elf Stocking With Jingle Bells Red/Green/White Polyester 19""",1,184,https://i.pinimg.com/originals/8a/13/b9/8a13b91655ba13b66633a9d70e6e6e2e.jpg,1667,image,The Christmas Ranch,Local save in /data/christmas,"Summer Christmas,Christmas Elf,Christmas Ideas,Christmas Decorations,Christmas Sewing,Christmas Crafts For Kids,Christmas Wrapping,Cute Christmas Stockings,Stocking Ideas","Christmas Elf Stocking With Jingle Bells Red/Green/White 19""",a7ae2cae-c83c-4fac-9e23-45437acea61e
home-decor,Are you thinking of refreshing your bedroom? Not sure where to start? If you've got something fun and comfortable on,1,64k,https://i.pinimg.com/originals/39/e3/fe/39e3fe0a1c77a49892a73b7dce95e54b.jpg,6170,image,The Cards We Drew,Local save in /data/home-decor,"Cute Bedroom Decor,Small Room Bedroom,Room Ideas Bedroom,Small Rooms,Bohemian Bedroom Decor,Boho Decor,Small Spaces,Bedroom Wall,Bedroom Inspo",Boho Bedroom Decor Ideas,c5ce02d7-6eb1-4e3e-bd19-f98874156474
tattoos,"Koi fish tattoos are a popular choice for men who want to make a statement, thanks to their rich symbolism and bold design.",1,211k,https://i.pinimg.com/originals/8a/0c/0a/8a0c0a7b6236565c519acd41ad1a52c0.jpg,8731,image,TheTrendSpotter,Local save in /data/tattoos,"Dr Tattoo,Wörter Tattoos,Pisces Tattoos,Tatoo Art,Dream Tattoos,Dope Tattoos,Mini Tattoos,Finger Tattoos,Body Art Tattoos",20 Koi Fish Tattoos For Lucky Men,ea760f71-febf-4023-b592-d17396659039
